CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F998,F999,F1000,F1001,F2384,F359325,F359336,
,,,,,Deprivation; classification of household [E][S][W] : Household is deprived in 1 dimension - Unit : Households,Deprivation; classification of household [E][S][W] : Household is deprived in 2 dimensions - Unit : Households,Deprivation; classification of household [E][S][W] : Household is deprived in 3 dimensions - Unit : Households,Deprivation; classification of household [E][S][W] : Household is deprived in 4 dimensions - Unit : Households,Population (usual residents) : All usual residents - Unit : Persons,Age : Age 16 to 24 - Economic activity : Economically inactive - Sex : Males - Unit : Persons,Age : Age 25 to 34 - Economic activity : Economically inactive - Sex : Males - Unit : Persons,
24198,E01005061,Manchester 018A,Lower Super Output Areas and Data Zones,LSOADZ,227,230,139,7,1648,42,26,
24199,E01005062,Manchester 018B,Lower Super Output Areas and Data Zones,LSOADZ,274,174,75,8,2893,427,131,
24200,E01005063,Manchester 018C,Lower Super Output Areas and Data Zones,LSOADZ,205,170,83,19,1486,74,29,
24201,E01005065,Manchester 018D,Lower Super Output Areas and Data Zones,LSOADZ,296,274,103,10,2231,93,72,
24202,E01005066,Manchester 018E,Lower Super Output Areas and Data Zones,LSOADZ,179,118,49,7,1700,315,85,
24203,E01005067,Manchester 020A,Lower Super Output Areas and Data Zones,LSOADZ,167,195,110,10,1362,32,14,
24204,E01005068,Manchester 051A,Lower Super Output Areas and Data Zones,LSOADZ,265,214,75,6,1578,33,12,
24205,E01005069,Manchester 047A,Lower Super Output Areas and Data Zones,LSOADZ,192,113,32,2,1447,19,8,
24206,E01005070,Manchester 051B,Lower Super Output Areas and Data Zones,LSOADZ,234,204,77,5,1682,42,10,
24207,E01005071,Manchester 048A,Lower Super Output Areas and Data Zones,LSOADZ,216,180,65,4,1592,32,9,
24208,E01005072,Manchester 048B,Lower Super Output Areas and Data Zones,LSOADZ,242,177,87,8,1703,25,9,
24209,E01005073,Manchester 048C,Lower Super Output Areas and Data Zones,LSOADZ,222,116,22,1,1492,35,6,
24210,E01005074,Manchester 051C,Lower Super Output Areas and Data Zones,LSOADZ,214,181,79,1,1522,20,15,
24211,E01005075,Manchester 051D,Lower Super Output Areas and Data Zones,LSOADZ,194,171,62,5,1390,19,6,
24212,E01005076,Manchester 039A,Lower Super Output Areas and Data Zones,LSOADZ,198,64,19,2,1483,38,19,
24213,E01005077,Manchester 042A,Lower Super Output Areas and Data Zones,LSOADZ,188,166,83,7,1558,38,22,
24214,E01005078,Manchester 042B,Lower Super Output Areas and Data Zones,LSOADZ,249,72,28,3,1453,17,9,
24215,E01005079,Manchester 042C,Lower Super Output Areas and Data Zones,LSOADZ,167,115,39,1,1565,31,19,
24216,E01005081,Manchester 039C,Lower Super Output Areas and Data Zones,LSOADZ,267,177,94,13,1770,55,14,
24217,E01005082,Manchester 037A,Lower Super Output Areas and Data Zones,LSOADZ,170,179,81,5,1548,46,12,
24218,E01005083,Manchester 039D,Lower Super Output Areas and Data Zones,LSOADZ,252,83,26,3,1710,39,20,
24219,E01005084,Manchester 042D,Lower Super Output Areas and Data Zones,LSOADZ,236,151,67,2,2018,31,15,
24220,E01005085,Manchester 049A,Lower Super Output Areas and Data Zones,LSOADZ,215,144,52,3,1567,31,12,
24221,E01005086,Manchester 049B,Lower Super Output Areas and Data Zones,LSOADZ,224,208,86,6,1811,47,21,
24222,E01005087,Manchester 050A,Lower Super Output Areas and Data Zones,LSOADZ,260,220,98,9,2083,67,21,
24223,E01005088,Manchester 050B,Lower Super Output Areas and Data Zones,LSOADZ,211,222,115,5,1708,32,16,
24224,E01005089,Manchester 049C,Lower Super Output Areas and Data Zones,LSOADZ,244,194,86,7,1920,36,23,
24225,E01005090,Manchester 050C,Lower Super Output Areas and Data Zones,LSOADZ,211,240,131,9,1597,34,10,
24226,E01005091,Manchester 050D,Lower Super Output Areas and Data Zones,LSOADZ,303,229,106,9,2159,34,25,
24227,E01005092,Manchester 015A,Lower Super Output Areas and Data Zones,LSOADZ,241,200,97,11,1629,37,22,
24228,E01005093,Manchester 012A,Lower Super Output Areas and Data Zones,LSOADZ,207,201,110,9,1724,29,32,
24229,E01005094,Manchester 012B,Lower Super Output Areas and Data Zones,LSOADZ,213,193,85,5,1463,31,18,
24230,E01005097,Manchester 012C,Lower Super Output Areas and Data Zones,LSOADZ,199,207,97,14,1731,56,13,
24231,E01005098,Manchester 001A,Lower Super Output Areas and Data Zones,LSOADZ,242,241,107,6,1522,30,14,
24232,E01005099,Manchester 001B,Lower Super Output Areas and Data Zones,LSOADZ,219,209,112,12,1819,32,16,
24233,E01005100,Manchester 001C,Lower Super Output Areas and Data Zones,LSOADZ,226,158,67,7,1588,27,8,
24234,E01005101,Manchester 002A,Lower Super Output Areas and Data Zones,LSOADZ,233,204,86,8,1704,50,13,
24235,E01005102,Manchester 001D,Lower Super Output Areas and Data Zones,LSOADZ,223,140,45,3,1358,13,6,
24236,E01005103,Manchester 001E,Lower Super Output Areas and Data Zones,LSOADZ,271,290,104,6,1640,25,11,
24237,E01005104,Manchester 004A,Lower Super Output Areas and Data Zones,LSOADZ,302,217,79,8,1789,31,17,
24238,E01005105,Manchester 015C,Lower Super Output Areas and Data Zones,LSOADZ,278,173,78,10,1960,72,30,
24239,E01005106,Manchester 015D,Lower Super Output Areas and Data Zones,LSOADZ,290,259,103,10,1877,41,21,
24240,E01005107,Manchester 015E,Lower Super Output Areas and Data Zones,LSOADZ,231,214,99,20,1803,41,25,
24241,E01005108,Manchester 017A,Lower Super Output Areas and Data Zones,LSOADZ,343,304,141,16,2630,59,28,
24242,E01005111,Manchester 047B,Lower Super Output Areas and Data Zones,LSOADZ,186,172,63,4,1405,23,8,
24243,E01005112,Manchester 048D,Lower Super Output Areas and Data Zones,LSOADZ,244,158,51,6,1660,30,12,
24244,E01005113,Manchester 047C,Lower Super Output Areas and Data Zones,LSOADZ,278,213,119,18,1573,15,7,
24245,E01005114,Manchester 047D,Lower Super Output Areas and Data Zones,LSOADZ,276,153,30,2,1768,28,8,
24246,E01005115,Manchester 044A,Lower Super Output Areas and Data Zones,LSOADZ,262,175,56,4,1874,27,7,
24247,E01005116,Manchester 047E,Lower Super Output Areas and Data Zones,LSOADZ,244,192,74,4,1964,23,17,
24248,E01005117,Manchester 048E,Lower Super Output Areas and Data Zones,LSOADZ,299,219,131,12,2059,40,11,
24249,E01005118,Manchester 034A,Lower Super Output Areas and Data Zones,LSOADZ,157,115,28,1,1507,35,13,
24250,E01005119,Manchester 041A,Lower Super Output Areas and Data Zones,LSOADZ,205,167,73,5,1531,40,10,
24251,E01005120,Manchester 034B,Lower Super Output Areas and Data Zones,LSOADZ,201,161,55,3,1849,46,12,
24252,E01005121,Manchester 041B,Lower Super Output Areas and Data Zones,LSOADZ,212,161,68,5,1594,40,13,
24253,E01005122,Manchester 041C,Lower Super Output Areas and Data Zones,LSOADZ,208,178,75,3,1681,43,11,
24254,E01005123,Manchester 041D,Lower Super Output Areas and Data Zones,LSOADZ,199,185,80,1,1701,65,6,
24255,E01005124,Manchester 041E,Lower Super Output Areas and Data Zones,LSOADZ,227,168,82,7,1734,37,18,
24256,E01005125,Manchester 040A,Lower Super Output Areas and Data Zones,LSOADZ,192,151,62,1,1596,55,11,
24257,E01005126,Manchester 045A,Lower Super Output Areas and Data Zones,LSOADZ,256,146,31,3,2034,45,14,
24258,E01005128,Manchester 055A,Lower Super Output Areas and Data Zones,LSOADZ,433,87,7,0,1710,324,103,
24259,E01005129,Manchester 013B,Lower Super Output Areas and Data Zones,LSOADZ,242,192,131,10,1461,37,23,
24260,E01005130,Manchester 054A,Lower Super Output Areas and Data Zones,LSOADZ,245,208,132,11,1481,37,30,
24261,E01005132,Manchester 013C,Lower Super Output Areas and Data Zones,LSOADZ,214,192,111,10,1480,43,26,
24262,E01005133,Manchester 013D,Lower Super Output Areas and Data Zones,LSOADZ,209,160,98,5,1275,51,18,
24263,E01005135,Manchester 002B,Lower Super Output Areas and Data Zones,LSOADZ,212,178,84,2,1621,41,17,
24264,E01005136,Manchester 002C,Lower Super Output Areas and Data Zones,LSOADZ,209,156,64,2,1506,23,8,
24265,E01005138,Manchester 002D,Lower Super Output Areas and Data Zones,LSOADZ,239,234,139,10,1755,58,46,
24266,E01005139,Manchester 003B,Lower Super Output Areas and Data Zones,LSOADZ,239,155,49,2,1726,45,18,
24267,E01005140,Manchester 002E,Lower Super Output Areas and Data Zones,LSOADZ,390,249,117,8,2804,44,35,
24268,E01005141,Manchester 003C,Lower Super Output Areas and Data Zones,LSOADZ,243,256,108,13,1738,49,20,
24269,E01005142,Manchester 058A,Lower Super Output Areas and Data Zones,LSOADZ,212,235,138,11,1912,61,35,
24270,E01005143,Manchester 056A,Lower Super Output Areas and Data Zones,LSOADZ,254,227,115,9,2602,104,75,
24271,E01005145,Manchester 008A,Lower Super Output Areas and Data Zones,LSOADZ,286,201,58,7,2711,102,34,
24272,E01005146,Manchester 008B,Lower Super Output Areas and Data Zones,LSOADZ,301,264,67,6,2361,81,33,
24273,E01005147,Manchester 058B,Lower Super Output Areas and Data Zones,LSOADZ,301,253,126,12,2538,84,25,
24274,E01005149,Manchester 008C,Lower Super Output Areas and Data Zones,LSOADZ,177,122,40,9,1743,76,27,
24275,E01005150,Manchester 029A,Lower Super Output Areas and Data Zones,LSOADZ,287,115,43,9,1870,31,30,
24276,E01005151,Manchester 029B,Lower Super Output Areas and Data Zones,LSOADZ,172,126,44,11,1485,24,16,
24277,E01005152,Manchester 029C,Lower Super Output Areas and Data Zones,LSOADZ,113,63,16,1,1453,22,8,
24278,E01005153,Manchester 037B,Lower Super Output Areas and Data Zones,LSOADZ,195,102,37,3,1663,16,17,
24279,E01005154,Manchester 033A,Lower Super Output Areas and Data Zones,LSOADZ,189,79,21,1,1581,21,18,
24280,E01005155,Manchester 037C,Lower Super Output Areas and Data Zones,LSOADZ,133,82,25,1,1411,21,7,
24281,E01005156,Manchester 033B,Lower Super Output Areas and Data Zones,LSOADZ,136,66,10,0,1496,17,7,
24282,E01005157,Manchester 037D,Lower Super Output Areas and Data Zones,LSOADZ,141,51,6,1,1591,28,1,
24283,E01005158,Manchester 033C,Lower Super Output Areas and Data Zones,LSOADZ,199,150,40,2,1511,35,4,
24284,E01005159,Manchester 029D,Lower Super Output Areas and Data Zones,LSOADZ,159,59,22,3,1585,32,14,
24285,E01005160,Manchester 004B,Lower Super Output Areas and Data Zones,LSOADZ,270,190,35,2,1769,37,15,
24286,E01005161,Manchester 004C,Lower Super Output Areas and Data Zones,LSOADZ,246,110,40,2,1554,19,5,
24287,E01005162,Manchester 004D,Lower Super Output Areas and Data Zones,LSOADZ,204,204,53,3,1710,42,21,
24288,E01005163,Manchester 004E,Lower Super Output Areas and Data Zones,LSOADZ,211,163,64,10,1651,41,18,
24289,E01005164,Manchester 006A,Lower Super Output Areas and Data Zones,LSOADZ,232,192,91,13,1571,48,38,
24290,E01005165,Manchester 008D,Lower Super Output Areas and Data Zones,LSOADZ,332,320,94,26,2109,51,38,
24291,E01005166,Manchester 008E,Lower Super Output Areas and Data Zones,LSOADZ,257,223,75,9,1862,38,37,
24292,E01005167,Manchester 008F,Lower Super Output Areas and Data Zones,LSOADZ,197,129,70,9,1985,70,34,
24293,E01005168,Manchester 045B,Lower Super Output Areas and Data Zones,LSOADZ,150,63,16,2,1388,31,4,
